chi_name,eng_name,player_id
吳承諭,WU Cheng Yu,005482
王志煊,WANG Chih Hsuan,006228
呂偉晟,LU Wei Cheng,005552
藍愷青,LAN Kai Ching,005284
柯德曼,Rob Cordemans,L0H8
彭璿紘,PENG Hsuan Hong,B0J2
瓦德茲,Cesar Valdez,A0F3
西爾法,Walter Silva,A054
歐飛登,Dillon Overton,006498
李其峰,LEE Chi Feng,006127
尼寇力,Justin Nicolino,006013
古林睿煬,GU LIN Ruei Yang,004638
魏碩成,WEI Shuo Cheng,005572
張喜凱,TEOH Xi Kai,005511
林子昱,LIN Tzu Yu,H952
歐耀宗,OU Yao Tsung,H022
加百利,Gabriel Ynoa,006500
洛奇,Donn Roach,006124
李建勳,LEE Chien Hsun,005561
彼得,Peter Moylan,G030
楊達翔,YANG Ta Hsiang,E0N2
萬昭清,WAN Chao Ching,A0F9
布里悍,Jake Brigham,006496
傑斯,Juan Carlos Ramírez,006298
雷艾斯,Arturo Reyes,005702
蔡明憲,TSAI Ming Hsien,005547
徐若熙,HSU Jo Hsi,005543
吳俊杰,WU Chun Chieh,k433
陳冠傑,CHEN Kuan Chieh,H527
威爾,Diegomar Markwell,G093
豪勁,Bradin Hagens,006507
奇優力,Yoanys Quiala,006214
吳蔚驊,WU Wei Hua,H447
李吳永勤,LI WU Yung Qin,E0M8
劉家愷,LIU Chia Kai,B0K1
姚杰宏,YAO Chieh Hung,005282
王維中,WANG Wei Chung,H724
鋼龍,Drew Gagnon,006497
李慶隆,LI Cing Long,006219
莊昕諺,CHUANG Hsin Yen,005509
張泰山,Ati ‧ Masaw,D047
彭政閔,PENG Cheng Min,E0C1
黃忠義,HUANG Chung Yi,B017
葉君璋,YEH Chun Chang,D037
羅敏卿,LO Min Ching,L009
鄭兆行,Arang Karo,B083
王傳家,WANG Chuen Chia,B028
陳連宏,CHEN Lien Hung,W055
劉芙豪,LIU Fu Hao,L0D8
張建銘,CHANG Chien Ming,B0B3
陳政賢,CHEN Cheng Hsien,L037
鄭達鴻,CHENG Da Hung,B0B9
高志綱,KAO Chih Kang,L0E9
陳懷山,NA,E041
陳瑞振,CHEN Jui Chen,E075
陳江和,CHEN Chiang Ho,R007
林仲秋,LIN Chung Chiu,T006
王光輝,WANG Guang Hui,E026
楊松弦,YANG Sun Hsuan,W048
陳瑞昌,CHEN Jui Chang,E000
黃甘霖,HUANG Kan Lin,L087
林易增,LIN I Tseng,E004
石志偉,SHIH Chih Wei,A032
黃泰龍,NA,G073
曾智偵,TSENG Chih Chen,L022
陳金茂,CHEN Chin Mou,D055
鍾承祐,CHUNG Chen Yu,R367
黃煚隆,HUANG Chiung Lung,D008
郭岱琦,Kanas,L0E7
林鴻遠,LIN Hong Yuan,W000
陳琦豐,CHEN Chi Feng,E020
李居明,LEE Chu Ming,E033
許聖杰,HSU Sheng Chieh,D076
蔡建偉,TSAI Jian Wei,A039
曾華偉,ZENG Hua Wei,B086
陳冠任,CHEN Kuan Jen,R011
張家浩,CHANG Chia Hao,B087
陳金鋒,CHEN Chin Feng,A063
林宗男,LIN Tsung Nan,R006
羅國璋,LO Kuo Chang,L013
蘇建榮,SU Chien Jung,B0D1
曾豪駒,TSENG Hao Ju,A040
蔡豐安,TSAI Feng An,T067
張文宗,CHANG Wen Chung,B045
王金勇,WANG Jin Yong,E0B7
蔡昆祥,NA,D067
闕樹木,NA,W007
馮勝賢,FENG Sheng Xian,E0B5
黃龍義,HUANG Long Yi,A015
陳文賓,CHEN Wen Bin,L014
宋榮泰,SUNG Yung Tai,L019
吳佳榮,WU Chia Jung,L0A3
林志祥,LIN Chih Hsiang,R600
謝佳賢,HSIEH Chia Shian,G010
余賢明,YU Hsien Ming,B0C0
童琮輝,NA,T004
黃浩然,HUANG Hao Jan,R017
孫昭立,NA,D007
洪正欽,HONG Cheng Chin,D016
鄭昌明,CHENG Chang Ming,W080
王宸浩,WANG Kuang Hao,W006
潘忠韋,PAN Zhong Wei,A011
洪一中,HONG I Chung,E002
許國隆,HSU Guo Long,B0B7
羅世幸,LUO Shi Xing,D005
黃貴裕,NA,W058
陳致遠,CHEN Chih Yuan,E0C4
陳峰民,CHEN Feng Min,A006
吳昭輝,NA,L088
郭建霖,KUO Chien Lin,D003
耿健輝,NA,L012
林明憲,LIN Ming Hsien,E0A4
徐整當,NA,T033
鄭百勝,NA,L001
王信民,WANG Hsin Min,W0B5
郭一峰,KUO Yi Feng,D089
紀俊麟,CHI Chun Lin,W084
陳健偉,CHEN Chien Wie,W077
陳智弘,CHEN Chih Hung,E0E6
陽森,YANG Sen,L0D9
李安熙,NA,D009
張民諺,NA,A033
鄧蒔陽,TENG Shi Yang,G050
呂文生,LU Wen Sheng,L005
鷹俠,Luis Iglesias,T028
石金受,NA,W050
羅松永,NA,B077
吳復連,WU Fu Lien,E005
陽東益,YANG Tung Yi,L0D7
陳彥成,NA,E036
王俊郎,WANG Jun Lang,B009
陳該發,CHEN Kai Fa,T003
林岳亮,NA,T064
陳志偉,CHEN Chih Wei,B0D0
洪啟峰,NA,W025
李坤哲,NA,L003
陳宗甫,NA,B078
吳思賢,NA,B003
陳大順,NA,D066
邱企彬,NA,W053
許錫華,NA,T036
柯建鋒,NA,L0A2
吳林煉,NA,L023
賴崇光,NA,L002
林琨瀚,LIN Kun Han,T005
何良志,NA,T022
李志傑,NA,E0B9
朱鴻森,CHU Hung Sen,E0C9
林百亨,NA,E044
張天麟,NA,B023
林克,Francisco Laureano,L007
郭岱詠,NA,W093
白昆弘,PAI Kun Hong,B022
陳正中,NA,T035
郭俊佑,KUO Chun Yu,R262
蔡生豐,NA,T025
廖敏雄,LIAO Ming Hsiung,C018
曾貴章,NA,C006
呂明賜,LU Ming Tsu,D001
